"Species"	"Kruskall_Wallis_P_Value"	"CD_nonIBD_P_Value"	"CD_UC_P_Value"	"UC_nonIBD_P_Value"	"CD_Mean"	"UC_Mean"	"nonIBD_Mean"
"X1297617.4.patric"	"0.0473502971714703"	"0.359538043823391"	"0.110776726916754"	"0.0679634822402681"	"0.0169501559936672"	"0.0327859384138864"	"0.0118368153747202"
"X349741.6.patric"	"0.010446886921879"	"0.07388616616611"	"0.07388616616611"	"0.0232870368196707"	"0.0464723263490155"	"0.0159161712273343"	"0.110065248237521"
"X484020.3.patric"	"0.045770764066395"	"0.0681540551013697"	"0.0681540551013697"	"0.830324257655795"	"0.0250498095881031"	"0.0801805591628901"	"0.0660508867783972"
"X568816.4.patric"	"0.991716023902362"	"1"	"1"	"1"	"0.0399041412989978"	"0.0199865761095249"	"0.0210269745561424"
"X657309.4.patric"	"0.431382253537756"	"0.40415883097846"	"0.863838087752522"	"0.40415883097846"	"0.179072827259748"	"0.143456241027298"	"0.122442218381598"
"X657319.15.patric"	"0.659720213550102"	"0.666921653618033"	"0.666921653618033"	"0.666921653618033"	"0.0671863532724061"	"0.0559644631588583"	"0.147975222662044"
"X709991.3.patric"	"0.355575822855424"	"0.47306488140201"	"0.47306488140201"	"0.47306488140201"	"0.10670725050553"	"0.0648075328399712"	"0.0964462911362595"
"X890402.3.patric"	"0.541892633807925"	"0.648368223868695"	"0.648368223868695"	"0.690669558044928"	"0.145891187991515"	"0.148971112278598"	"0.1366473771807"
"X1073375.3.patric"	"0.365965865023757"	"0.98053698878933"	"0.487723817558523"	"0.518646140222492"	"0.193967812711217"	"0.103262891745445"	"0.142939538704064"
"X1121101.3.patric"	"0.894555285927434"	"0.902523250177679"	"0.902523250177679"	"0.902523250177679"	"0.0327032614115635"	"0.0466599049081926"	"0.0398446815939889"
"X1128111.23.patric"	"0.643510891596948"	"1"	"1"	"1"	"0.0320164490744712"	"0.0280337027623535"	"0.0127306283447372"
"X1203465.3.patric"	"0.587023695900301"	"0.837619772283683"	"0.717724341288204"	"0.717724341288204"	"0.195335642355983"	"0.11604761460961"	"0.267909248693401"
"X1236512.3.patric"	"0.711785042088656"	"0.663421515816855"	"0.663421515816855"	"0.663421515816855"	"0.98424442522317"	"1.02977883992327"	"1.09992094954887"
"X1262754.3.patric"	"0.280666475284005"	"0.372171439782126"	"0.372171439782126"	"0.372171439782126"	"0.0774516847844059"	"0.169197122638396"	"0.186757640145163"
"X1262776.3.patric"	"0.141487422108202"	"0.404409156852313"	"0.261651675109439"	"0.617075077451974"	"0.0511289568371606"	"0.0145710055005493"	"0.00374137893760692"
"X1262777.3.patric"	"0.149733070684057"	"0.284078827798428"	"0.371093369522698"	"0.371093369522698"	"0.0122402727927708"	"0.0191734674515958"	"0.0516595278741874"
"X1262889.3.patric"	"0.164558568169134"	"0.173064555076224"	"0.874902500540182"	"0.267243893924539"	"0.140624560531896"	"0.182280191641365"	"0.235145763334753"
"X1262947.3.patric"	"0.768906868381238"	"0.883617459381368"	"0.883617459381368"	"0.883617459381368"	"0.0342211073504186"	"0.0441845045344673"	"0.0937625109081135"
"X1262949.3.patric"	"0.0850933336759716"	"0.113243680539459"	"0.475722177127318"	"0.210697572237532"	"0.0545372002836284"	"0.0531140567724431"	"0.0392652683113122"
"X1262979.3.patric"	"0.167517632153906"	"0.248512275476419"	"0.361432003052355"	"0.713303173878458"	"0.0351227639971574"	"0.0202332395655871"	"0.0257073236459489"
"X1262989.3.patric"	"0.348725782975245"	"0.819707537829788"	"0.528813206249569"	"0.528813206249569"	"0.0271350288529558"	"0.0339281790601922"	"0.0369059165608829"
"X1262992.3.patric"	"0.763238340629739"	"0.721029056559735"	"0.721029056559735"	"0.721029056559735"	"0.0707263320026281"	"0.0628838035440372"	"0.103612491831875"
"X1263070.3.patric"	"0.118177079787687"	"0.288776358654707"	"0.298668378680726"	"0.162806769150123"	"0.124606269692609"	"0.198207202201478"	"0.14327171629654"
"X1263072.3.patric"	"0.648698724343878"	"0.665520459982872"	"0.751151457154526"	"0.665520459982872"	"0.172590567792032"	"0.137647391831597"	"0.142286490049107"
"X1263073.3.patric"	"0.217230259219057"	"0.226937343237257"	"0.908035177531328"	"0.226937343237257"	"0.0494849898386618"	"0.0817379122165747"	"0.0499268049140552"
"X1263074.4.patric"	"0.0653348661716378"	"0.374138971349812"	"0.0691897998510139"	"0.221784167911558"	"0.104906986072249"	"0.227770950701125"	"0.210738075127565"
"X1263105.3.patric"	"0.263191390985437"	"0.230218922435091"	"0.635602366407015"	"0.609279702618217"	"0.188120488289289"	"0.30424701599444"	"0.317473897775098"
"X1263107.3.patric"	"0.210701270510878"	"0.346718225382908"	"0.56186917354107"	"0.220979762033466"	"0.115377035156677"	"0.160609755041297"	"0.0786752368626492"
"X1432052.9.patric"	"0.781675341101315"	"0.945129140896805"	"0.945129140896805"	"0.945129140896805"	"0.0427315488069909"	"0.0409179445892278"	"0.0501696600649686"
"X1522.9.patric"	"0.335413458277247"	"0.713303173878458"	"0.454986987347351"	"0.713303173878458"	"0.0183230551257276"	"0.0109641950545687"	"0.0150089398770398"
"X1650661.3.patric"	"0.446298153570457"	"0.606835823225733"	"0.606835823225733"	"0.606835823225733"	"0.121601591271703"	"0.100651436101346"	"0.134518040004185"
"X1673721.3.patric"	"0.328109002823781"	"0.336957958385671"	"0.948532516850644"	"0.336957958385671"	"0.0245793643830594"	"0.0289812514737261"	"0.023699039167373"
"X169435.7.patric"	"0.928749086373749"	"0.922865700723369"	"0.922865700723369"	"0.922865700723369"	"0.0225069038289628"	"0.00257780148110259"	"0.0225871923242306"
"X1697787.3.patric"	"0.634047667940368"	"0.788713430179409"	"0.788713430179409"	"0.870991194797463"	"0.0530260780545605"	"0.0333744379823144"	"0.0274955522902309"
"X1897011.3.patric"	"0.368013651771044"	"0.681678681681604"	"0.576738976986727"	"0.404814437424519"	"0.166132807949996"	"0.154508972706743"	"0.250860610176042"
"X1952006.3.patric"	"0.0739070017457027"	"0.168487412101653"	"0.560825958450369"	"0.0536034329057536"	"0.660105855827549"	"0.67593658362307"	"0.961270875572"
"X208479.8.patric"	"0.164854983393505"	"0.172402297783944"	"0.492350671738442"	"0.4200808903093"	"0.268038695098129"	"0.207832981556223"	"0.140882523573328"
"X246787.5.patric"	"0.422616393561901"	"0.46479788904269"	"0.897271078282276"	"0.46479788904269"	"0.145289647710474"	"0.136223242733479"	"0.217898881153936"
"X2562617057.img"	"0.18401745796589"	"0.248221769508723"	"0.427704041151642"	"0.371703260837098"	"0.281276004475527"	"0.220189792379454"	"0.206075189874171"
"X2562617183.img"	"0.589316318932623"	"0.679988402234294"	"0.679988402234294"	"0.679988402234294"	"0.0381546446030402"	"0.0589067123851267"	"0.0508556955747306"
"X261299.4.patric"	"0.918284443316689"	"0.921477458046949"	"0.921477458046949"	"0.921477458046949"	"0.0504484113195457"	"0.0148373731776335"	"0.0146052805562725"
"X2654588179.img"	"0.416634771445463"	"0.552112028357441"	"0.721838550120301"	"0.552112028357441"	"0.307701755616804"	"0.371849984760177"	"0.421782093869014"
"X28116.19.patric"	"0.652225225310441"	"0.928057251415213"	"0.66793038565639"	"0.66793038565639"	"0.597536340640473"	"0.55877704313155"	"0.605429729380394"
"X33043.5.patric"	"0.730444106973072"	"0.897278961260083"	"0.897278961260083"	"0.897278961260083"	"0.0150689851312168"	"0.0519736001791127"	"0.0900370369490964"
