S_id	Corr_ds_ref_PTR	Corr_ds_ref_Relab	species_name
1073375.3	0.39443442	0.301567945	Ruminococcus gnavus
2562617057	0.366073502	0.349768266	Escherichia coli
999410.3	0.362956544	0.20506594	Clostridium clostridioforme
457421.5	0.361444005	0.328981436	Clostridium sp.
208479.8	0.351998899	0.24841997	Clostridium bolteae
445974.6	0.348091051	0.23958578	Clostridium ramosum
261299.4	0.326629487	0.33966364	Clostridium bartlettii
SRS295012_18	0.301763206	0.288515534	Clostridium symbiosum
SRS372948_2	0.280029691	0.219440042	Hungatella hathewayi
573.1549	0.278873224	0.174365638	Klebsiella pneumoniae
1522.9	0.263566042	0.269660233	Clostridium innocuum
SRS295010_88	0.187893787	0.130367359	Clostridium hathewayi
SRS295008_15	0.186628297	0.304466487	Roseburia HGM12473
1262776.3	0.184965925	0.109290266	Clostridium sp
1262989.3	0.172740267	0.150643487	Neglecta sp.
ERS473296_9	0.172092578	0.091725663	Blautia sp.
460384.4	0.161482183	0.104754769	Clostridium sp.
ERS608491_27	0.134821735	0.107840891	Anaeromassilibacillus sp.
817.56	0.126367887	0.178969038	Bacteroides fragilis
ERS473221_34	0.123961839	0.10589686	Sellimonas sp.
SRS311548_12	0.09570342	0.325996185	Flavonifractor plautii
1128111.23	0.09484932	0.092885123	Veillonella atypica
SRS476023_14	0.09428402	0.14667961	Eisenbergiella sp.
1673721.3	0.067133275	0.061544407	Intestinimonas sp.
545696.5	0.06396794	0.028797306	Holdemania filiformis
169435.7	0.063424497	0.088914593	Anaerotruncus colihominis
SRS259497_2	0.053025408	-0.011171406	Lachnospiraceae HGM11901
SRS294930_28	0.037567928	0.118264978	Clostridium sp.
ERS537197_59	0.035985406	0.077832897	Ruthenibacterium sp.
1432052.9	0.024666063	0.060277099	Eisenbergiella tayi
568816.4	-0.017434846	0.016517685	Acidaminococcus intestini
SRS1596798_81	-0.030637622	-0.074291485	D16 sp.
890402.3	-0.033169797	0.133381419	Bifidobacterium sp.
1262979.3	-0.038312417	0.026194303	Coprobacter fastidiosus
1263072.3	-0.040989501	-0.002189585	Dialister invisus
ERS537304_27	-0.042738168	0.044469557	DTU089 sp.
469610.4	-0.045379431	-0.023165551	Parasutterella excrementihominis
SRS1719091_5	-0.048845848	-0.070552803	Bacteroides intestinalis
484020.3	-0.051928853	0.093011287	Bifidobacterium sp.
1262889.3	-0.052403035	0.176850711	Lachnospira sp.
1262949.3	-0.053574817	0.030598583	Eubacterium sp.
SRS1735703_14	-0.056107207	-0.069798773	Bacteroides plebeius
ERS608548_42	-0.059661115	0.06999946	Akkermansia sp.
1297617.4	-0.065932251	-0.004846047	Intestinimonas butyriciproducens
SRS1719567_3	-0.066189935	0.152852345	Blautia wexlerae
