"Axis.1"	"Axis.2"	"Clusters"	"X1297617.4.patric"	"X349741.6.patric"	"X484020.3.patric"	"X568816.4.patric"	"X657309.4.patric"	"X657319.15.patric"	"X709991.3.patric"	"X890402.3.patric"	"X1073375.3.patric"	"X1121101.3.patric"	"X1128111.23.patric"	"X1203465.3.patric"	"X1236512.3.patric"	"X1262754.3.patric"	"X1262776.3.patric"	"X1262777.3.patric"	"X1262889.3.patric"	"X1262947.3.patric"	"X1262949.3.patric"	"X1262979.3.patric"	"X1262989.3.patric"	"X1262992.3.patric"	"X1263070.3.patric"	"X1263072.3.patric"	"X1263073.3.patric"	"X1263074.4.patric"	"X1263105.3.patric"	"X1263107.3.patric"	"X1432052.9.patric"	"X1522.9.patric"	"X1650661.3.patric"	"X1673721.3.patric"	"X169435.7.patric"	"X1697787.3.patric"	"X1897011.3.patric"	"X1952006.3.patric"	"X208479.8.patric"	"X246787.5.patric"	"X2562617057.img"	"X2562617183.img"	"X261299.4.patric"	"X2654588179.img"	"X28116.19.patric"	"X33043.5.patric"	"X39488.4.patric"	"X445970.5.patric"	"X445974.6.patric"	"X457421.5.patric"	"X460384.4.patric"	"X46503.4.patric"	"X469591.4.patric"	"X469610.4.patric"	"X483215.6.patric"	"X545696.5.patric"	"X573.1549.patric"	"X59620.13.patric"	"X59620.24.patric"	"X59620.49.patric"	"X649756.4.patric"	"X665951.3.patric"	"X702446.3.patric"	"X742725.3.patric"	"X742821.3.patric"	"X765821.5.patric"	"X765821.8.patric"	"X817.56.patric"	"X927665.4.patric"	"X999410.3.patric"	"ERS235525_24.hgm"	"ERS235534_25.hgm"	"ERS235560_81.hgm"	"ERS235564_44.hgm"	"ERS396406_17.hgm"	"ERS396428_22.hgm"	"ERS396436_36.hgm"	"ERS396465_42.hgm"	"ERS396493_5.hgm"	"ERS396509_31.hgm"	"ERS396528_23.hgm"	"ERS473051_14.hgm"	"ERS473088_19.hgm"	"ERS473122_41.hgm"	"ERS473180_17.hgm"	"ERS473219_31.hgm"	"ERS473221_34.hgm"	"ERS473240_3.hgm"	"ERS473296_9.hgm"	"ERS473331_31.hgm"	"ERS473343_37.hgm"	"ERS473381_6.hgm"	"ERS473414_25.hgm"	"ERS537180_31.hgm"	"ERS537183_49.hgm"	"ERS537188_55.hgm"	"ERS537194_38.hgm"	"ERS537197_59.hgm"	"ERS537219_61.hgm"	"ERS537221_53.hgm"	"ERS537229_8.hgm"	"ERS537233_63.hgm"	"ERS537236_4.hgm"	"ERS537240_18.hgm"	"ERS537246_12.hgm"	"ERS537247_14.hgm"	"ERS537252_4.hgm"	"ERS537292_27.hgm"	"ERS537293_53.hgm"	"ERS537304_27.hgm"	"ERS537306_47.hgm"	"ERS537338_17.hgm"	"ERS537352_6.hgm"	"ERS537358_50.hgm"	"ERS537369_59.hgm"	"ERS537392_14.hgm"	"ERS608491_27.hgm"	"ERS608493_46.hgm"	"ERS608495_69.hgm"	"ERS608502_34.hgm"	"ERS608507_35.hgm"	"ERS608510_48.hgm"	"ERS608519_39.hgm"	"ERS608530_15.hgm"	"ERS608548_42.hgm"	"ERS608550_64.hgm"	"ERS608550_86.hgm"	"ERS608606_84.hgm"	"ERS631833_15.hgm"	"SRS015663_20.hgm"	"SRS017307_13.hgm"	"SRS019582_79.hgm"	"SRS019910_14.hgm"	"SRS020233_5.hgm"	"SRS020328_21.hgm"	"SRS021219_12.hgm"	"SRS024075_3.hgm"	"SRS049402_2.hgm"	"SRS050026_15.hgm"	"SRS050752_17.hgm"	"SRS056519_39.hgm"	"SRS075878_45.hgm"	"SRS076929_37.hgm"	"SRS077502_20.hgm"	"SRS077552_27.hgm"	"SRS077849_38.hgm"	"SRS098061_38.hgm"	"SRS098717_4.hgm"	"SRS104400_3.hgm"	"SRS142712_3.hgm"	"SRS143991_10.hgm"	"SRS144714_48.hgm"	"SRS147652_2.hgm"	"SRS1596777_76.hgm"	"SRS1596798_70.hgm"	"SRS1596798_81.hgm"	"SRS1596800_42.hgm"	"SRS1596807_67.hgm"	"SRS1596842_68.hgm"	"SRS1596849_88.hgm"	"SRS1596857_138.hgm"	"SRS1596872_171.hgm"	"SRS1719091_5.hgm"	"SRS1719444_21.hgm"	"SRS1719567_3.hgm"	"SRS1735456_15.hgm"	"SRS1735557_8.hgm"	"SRS1735679_4.hgm"	"SRS1735703_14.hgm"	"SRS259497_2.hgm"	"SRS294840_55.hgm"	"SRS294930_28.hgm"	"SRS294956_23.hgm"	"SRS294989_46.hgm"	"SRS295008_15.hgm"	"SRS295010_88.hgm"	"SRS295012_18.hgm"	"SRS311548_12.hgm"	"SRS332210_5.hgm"	"SRS372948_2.hgm"	"SRS373206_4.hgm"	"SRS475574_7.hgm"	"SRS475693_1.hgm"	"SRS476023_14.hgm"	"SRS476024_18.hgm"	"SRS476037_7.hgm"	"SRS476121_4.hgm"	"SRS476326_100.hgm"	"SRS820594_22.hgm"	"SRS820605_29.hgm"
"CSM5FZ4M"	0.0940896155796702	-0.110566087708428	"Cluster1"	0	0	0	0.36470840417501	0	0.253838058163638	0.143262139911979	0	0	0.312200879369495	0	0	1.794580787951	0	0	0	0	0	0	0	0	0	0.750946890890522	0	0	0.66668528802109	0	0.685804563151247	0	0	0	0	0	0	0	0	0	0	0.702690877536192	0	0	0.714993660880532	0.885078632186428	0	0.82381400711976	0.388065933141084	0	0	0	0	0.447561303210101	0	0	0	0	0	0	0	0	0	0.90615900859932	0	0	0	0	0	0	0	0	0	0	0.695287935632432	0	0	0	0.242953569072196	0	0	0	0	0	0	0	0	0	0	0	0	0	0.428878030445664	0	0	0	0	0.417135814544143	0	0.852265368416755	0	0.930893415775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.36178562659148	0	0	0	0	0	0	0	0	0	0	0	0	0.676007119864828	0	0	0	0.621484655475843	0	0.782360772531987	0	0	0	0	0.427323453893453	0.607289698996614	0	0	0	0	0	0	0	0.645204820222941	0	0.293865926873537	0	0.797591010131435	0	0	0	0.717003710474421	0	0	0	0	0	0.539751235175408	1.37502976103417	0	0	0	0	0	0	0	0	0	0	0
"CSM5MCUO"	0.161069008676037	0.0416810827006149	"Cluster2"	0	0	0	0	0	0	0.391819725166033	0	0	0.478613089539161	0	0	1.78171074148926	0	0	0	0	0	0	0	0	0	0.689377386176769	0	0.461618322748054	0.748870846931713	0.713268184737114	0	0	0	0	0	0	0	0.678509680617283	1.5215830921743	0	0	1.02983008365624	0	0	0.714257421268835	0.400343452170969	0	0	0.418139936960283	0	0	0	0.406815191506994	0	0.450335411081233	0	0.671724609651115	0	0	0.81292326637719	0	0.633521968979882	0	0.68731825642461	0	0	0.524402476414781	0	0	0	0	0	0	0.63302344166411	0	0.756617312264804	0	0.938137023210743	0.545948598352673	0	0.597981215818836	0	0	0	0	0.699322295115644	0	0	0.252403294470045	0	0	0.471919011504797	0	0	0	0	0	0	0	0.873652505390805	0.504949981071767	0.182253633802462	0.666437985225571	0	0.540852023144707	0	0	0	0.633313101225939	0.696640683124846	0	0	0.734515826407801	0	0	0.652516128081307	0	0	0	0	0	0	0	0.930505168664043	0.50909033785962	0	0.392550738340686	0	0	0	0	0.551371474032524	0	0.581066871374676	0.403062751794232	0	0	0	0.506717087281709	0.617793133859252	0	0	0	0	0.508011275131643	0.881411657740373	0	0.604450717453758	0.689955627822935	0	0.666071629403925	0	0	0	0	0.537004455993945	0	0.968974050409166	0.691797833429849	0	0	0	0.674971715464104	0	0.604965940620289	0	0	0.639966798297989	0.964910931984366	0.0543696812205652	0	0	0	0	0	0	0	0	0	0.282537032605134	0	0.672150728373344	0	0.651917362827789	0	0.772934448987949	0	0	0	0	0
"CSM5MCVL"	-0.460857015001806	-0.117100969699769	"Cluster3"	0	0	0	0.284894290071092	1.62034453375167e-06	0	0	0	0	0	0	0	0	0	0.388089713628657	0	0	0	0	0	0	0	0	0.506889077402928	0	0	0	0	0	0	0	0	0	0	0	0	0.89422911561135	0	0.624209549612315	0	0	0.599563134686287	0.166487509136074	0	0	0	0	1.44596622546762	0.595276317545397	0	0	0	0	0	0.49532200897053	0	0	0	0	0	0.473906684040095	0	0	0	0	0	0	0.463190285827925	0	0	0	0	0.84332967045762	0.466439209164362	0	0	0	0	0	0	0	0	0	0	0	0	0.363947254240493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.361922607288613	0	0	0	0	0	0	0	0	0.217927271888832	0	0.508153433307448	0	0	0	0	0	0	0	0	0	0	0	0
"CSM5MCVN"	-0.340542478628786	-0.175016275603188	"Cluster3"	0	0	0	0.375906936140076	1.97972829222778e-06	0	0	0	0	0	0	0	0	0	0.460646379411339	0	0	0	0	0	0	0	0	0.556799588142645	0	0.722290693148078	0	0	0	0	0	0	0	0	0	0	0.822278935464278	0	0	0	0	0.581100711174834	0.37778617336129	0	0	0	0	0	0.603292340601272	0	0	0	0	0	0	0	0	0	0	0	0.522365842512544	0	0	0	0	0	0	0.884050039310055	0	0	0	0	0.704296091065805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.384500323389347	0	0	0	0	0	0	0	0	0.160106044200069	0	0.555600595558216	0	0	0	0	0	0	0	0	0	0	0	0
"CSM5MCW6"	-0.280214407414618	-0.0190838473347599	"Cluster4"	0	0	0	0	0	0	0.153950853013877	0	0	0	0	0	0	0	0.62311409864056	0	0	0	0	0.38120471841572	0.365838195395951	0	0	0	0	0	0	0	0.378390216250898	0	0	0	0	0.409410913766253	0	0	0.887623363148531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.424324069971002	0	0	0	0.37909309372651	0	0	0	0	0.825783850822034	0	0	0.5873272517827	0	0	0	0	0	0	0.629317072243411	0.852942555032173	0	0.354258433501784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.436116077733239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.523267800139811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.488612992901246	0	0	0	0	0.375914542622126	0	0	0	0	0	0	0	0.366821740900395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.634813156756081	0	0	0.643000835821866	0	0	0	0.5852318515041	0.463802638879548	0	0	0	0	0	0	0	0	0	0	0	0
"CSM5MCWC"	-0.46060684424395	0.105270086843377	"Cluster4"	0	0	0	0	0	0	0	0	0.84631407657704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.44056315986137	0	0	0	0	0	0	0	0	0.923155110133856	0	1.07569176111251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.776922587447095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00172302244118	0	0	0	0	0.811104294572743	0	0	0	0	0.810403245384227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.376767377955795	0	0	0	0	0	0	0	0	0	0	0	0	0.420682872753024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.29240385686108	0	0	0.745293158924538	0	0.661772257080577	0	0	0	0	0	0	0	0	0	0
"CSM5MCWE"	-0.497971043198435	0.146385172187138	"Cluster4"	0	0	0	0	0	0	0	0.612393928938236	0.668088204197315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.364225157545851	0	0	0	0	0	0	0	0	0.930421157275144	0	0.949565239449952	0	0	0	0	0	0	0	0	0	0	0	0	0	0.712642927813612	0	0	0	0	0	0	0	0	0	0	0	0	1.79367735023257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.872571766434554	0	0	0	0	0.769455818587577	0	0	0	0	0.754460436880313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4791643703673	0	0	0	0	0	0	0	0	0	0	0	0	0.44420617675554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.29980202217494	0	0	0.730736909837786	0	0.694539517461038	0	0	0	0	0	0	0	0	0	0
"CSM5MCWG"	-0.425250539948711	-0.110095691183648	"Cluster5"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.760342158627799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.734944938455009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CSM5MCWQ"	0.0619885804897105	-0.0456601032198916	"Cluster1"	0	0	0	0.321971550345594	0.181402412481684	0.22351171220768	5.66777907353265e-06	0	0.813088844254827	0.316204167419761	0	0	1.82334693577853	0	0	0	0	0	0	0	0	0	0.473128775981543	0	0.650799134418656	0.721469108107212	0	0.599434813001035	0	0	0	0	0	0	0	0	0	0	0	0	0	0.58486969970178	0.888427414036659	0	0.576293343528741	0.325093880747015	0	0	0	0	0.404144681935928	0	0	0	0	0.345471846880222	0	0	0	0	0.696633693043746	0	0	0	0.645989245826649	0	0	0	0	0	0	0.583665084460267	0	0	0	0	0	0	0	0	0.272130511132205	0	0	0	0	0	0	0	0	0.302980635148367	0	0	0	0	0.522041571908039	0	0.869631829893699	0	0.710364484900506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.64283479139841	0	0	0	0	0	0	0	0	0	0	0	0	0.602235681665435	0	0	0	0.459840262068943	0	0.635888534216591	0	0	0	0	0.376012214383208	0.795697486917126	0	0	0	0	0	0	0	0	1.01968688774011	0.382210544360449	0.392483809617582	0.688914446314101	0	0	0	0	0	0	0	0	0	0.643369951893552	1.05827803218038	0	0	0.681211894654944	0	0	0	0	0	0	0	0
"CSM5MCX3"	0.111834580050533	0.0974471061085311	"Cluster2"	0	0	0	0	0.177201173288538	0	0.675614320126413	0	0	0.660419941106611	0	0	1.7000454885592	0	0	0	0	0	0	0	0	0	0.616485536699069	0	0.357954172411192	0	0.675407683758513	0.508758212161725	0	0	0	0	0	0	0.687101907506666	1.53054953277789	0	0.510125437989536	0.657932937937682	0	0	0.691781577398851	0.43148438021208	0	0	0.348467376574504	0	0	0	0.518898349983517	0.484108513887754	0.508620185412944	0	0.576392402905285	0	0	1.04290956721891	0	0.354182679641415	0.361415481924727	0.724837458371044	0	0	0.520908052913518	0	0	0	0	0	0	0.587164703711078	0	0.653670532906936	0	0.70819970669741	0	0	0.543828400064772	0	0	0	0	0.747829175695674	0	0	0.560758720133606	0	0	0.564746252203053	0	0	0	1.1373870162934	0	0	0	0.933521363496515	0.544275351047973	0.0672486766215294	0.64490965655817	0	0.831280048670609	0	0	0	0.356507452946612	0.604960979603836	0	0	0.743652067105296	0	0	0.58154015189112	0.701526162314785	0	0	0	0	0	0	0.862589749000652	0	0	0	0	0	0	0	0.582097022025482	0	0.610407125910651	0.396575534821825	0	0	0	0	0.534671735140326	0.431103096654914	0	0	0	0.448169905539105	0.879445869976191	0	0.651960066695009	0.570708326495256	0	0.655645712467459	0	0	0	0	0.460345066430369	0	0	0.684359065256654	0	0	0	0.738782822663567	0	0.406265188931655	0	0	0.7145053316281	1.00176119532494	0.101594499541019	0.568013684287783	0	0	0	0	4.20131723009988	0	0	0	0.334837916283605	0	0.756877098666891	0	0.767065711139623	0	0.511734786316966	0	0	0	0	0
