"metaphln"	"binsPTR"	"binsRelab"	"Ref_PTR"	"Ref_Relab"
"CSM5FZ4M"	0.762994956243905	0.608520182765134	0.860125312629866	0.643947122092713	0.664477838090213
"CSM5MCUO"	0.635309576134143	0.622613549885982	0.77642113909289	0.558013280332763	0.656929050182484
"CSM5MCVL"	0.912075343705943	0.906665513071925	0.985998678720923	0.874279707824448	0.84342924068242
"CSM5MCVN"	0.918150999786921	0.915877530764626	0.982507701938055	0.874509959297174	0.837163642432461
"CSM5MCW6"	0.968387244608592	1	0.995183644006903	0.849173492410592	0.824660260457201
"CSM5MCWC"	0.962494286445877	1	0.997229443315851	0.876053068324188	0.96231045907802
"CSM5MCWE"	0.964956021105389	1	0.999896125969289	0.900922153729398	0.968330415576503
"CSM5MCWG"	0.999517059916766	1	1	1	0.999883517324209
"CSM5MCWQ"	0.721365230697654	0.648464969551369	0.812516691941098	0.639770079147772	0.688362811828706
"CSM5MCX3"	0.630484955508499	0.609297926119712	0.765920638183653	0.582841827832162	0.624347998101302
"CSM5MCXD"	0.805447563905251	0.887905724372926	0.923752103484678	0.715735901505544	0.760160463548396
"CSM5MCXH"	0.713845454418018	0.830802215252617	0.908654025907129	0.646073232243712	0.698242743217497
"CSM5MCXJ"	0.729773614570551	0.846419514448877	0.920970909868077	0.641316826009546	0.702095457035968
"CSM5MCXL"	0.717359833599933	0.835850763023133	0.909919844537951	0.59873379562185	0.67922603551702
"CSM5MCXN"	0.612541398179629	0.558248650849165	0.796303677528274	0.540989124403689	0.656474227950971
"CSM5MCXP"	0.700635073694714	0.783145392758083	0.882912613089053	0.607074101557689	0.667904895321329
"CSM5MCXR"	0.731273340214107	0.876440633088754	0.931709537592444	0.67151245319132	0.702520971236655
"CSM5MCXT"	0.669714217893495	0.597096196812192	0.746701513914893	0.637335780129982	0.619149268878348
"CSM5MCXV"	0.678771590427919	0.602181315451779	0.74923013887562	0.603123219759318	0.613458369805401
"CSM5MCY2"	0.657952309816528	0.545105909300142	0.702215837289263	0.578449311190268	0.588939425482018
"CSM5MCY4"	0.738573884298396	0.74719170500441	0.866403428907751	0.670811139692547	0.647015595792007
"CSM5MCY8"	0.731006822648005	0.766942555340349	0.885637465925443	0.625664181906419	0.642061191578403
"CSM5MCYS"	0.881145259697948	0.883353772320323	0.937021546989993	0.786044296518695	0.869197300765484
"CSM5MCYW"	0.963685110782368	1	0.994358299564923	0.823433803565588	0.825736536755053
"CSM5MCZ3"	0.952207598591633	0.970788220671488	0.990816472209116	0.841095801944009	0.795540430639688
"CSM5MCZ5"	0.957236686919749	1	0.990651226968897	0.821871281445568	0.828061795156352
"CSM5MCZ7"	0.965334322858538	1	0.994456474347071	0.848491341994838	0.821514060787406
"CSM5MCZB"	0.729337142174018	0.775851842996335	0.906055877612448	0.592503894390714	0.675487668959057
"CSM5MCZD"	0.62056694840733	0.542027093467854	0.743565753229083	0.538907722762912	0.62286720650324
"CSM5MCZF"	0.620501778977446	0.525238515577818	0.749213639765174	0.540849719653982	0.619359766584323
"CSM67U9B"	0.65201843289509	0.542573699801382	0.694885391938991	0.534462233473768	0.64586257031072
"CSM67U9D"	0.633977591573999	0.55703064715748	0.749132339045229	0.542704685688791	0.631223899158345
"CSM67U9H"	0.874345055674981	0.793901732558715	0.907268357130402	0.723279728947131	0.904009257032521
"CSM67U9J"	0.851997970298796	0.881188468041186	0.908888401077409	0.722345638007942	0.759968349364944
"CSM67U9N"	0.72979422750741	0.790983491650936	0.853592570189137	0.783851492127635	0.724020813140439
"CSM67UA2"	0.848452110026116	0.872668996819279	0.930324403920334	0.718044735751392	0.756433949397841
"CSM67UAA"	0.945192165011071	0.743736990721127	0.925317544490329	0.759631972723449	0.887309998166014
"CSM67UAG"	0.989404303839603	1	0.998321319048549	1	0.997650675807046
"CSM67UAK"	0.829766690970308	0.857294612393599	0.905010037905375	0.72864676004804	0.73370628930263
"CSM67UAM"	0.85253870940514	0.86050680545634	0.909384465499605	0.714028221291257	0.765185732314705
"CSM67UAO"	0.825641116304623	0.857068448778661	0.894190655120485	0.690901040958087	0.746364706716952
"CSM67UAQ"	0.836268538424036	0.85287191640861	0.898685936421376	0.697214171152495	0.770410249651448
"CSM67UAS"	0.827984927598455	0.855302142905531	0.904018080212089	0.715542962423613	0.792191377967563
"CSM67UAU"	0.627388748590551	0.630894035987941	0.808381031175959	0.574634075358298	0.630350026783517
"CSM67UAW"	0.65562011947692	0.644826132911027	0.828127210720919	0.6257931512836	0.648343651484716
"CSM67UAY"	0.689321009082408	0.653153485316375	0.800633602905152	0.627152781588365	0.661158377557001
"CSM67UB1"	0.700889845442629	0.686059302028229	0.81532753937227	0.644707577884402	0.67005007300275
"CSM67UB3"	0.70255615663052	0.687965016984088	0.836055394873797	0.624048659321127	0.679272680747983
"CSM67UB9"	0.830166310944704	0.713212173610242	0.844115159777297	0.778444152492257	0.759044189875868
