# bin	classification	reason	lineage	lineage scores	superkingdom	phylum	class	order	family	genus	species
Bin1.fa	taxid assigned	based on 2535/2555 ORFs	1;131567;2;1783272;1239;186801;186802	1.00;1.00;1.00;0.99;0.99;0.57;0.57	Bacteria	Firmicutes	Clostridia	Clostridiales	no support	no support	no support
Bin10.fa	taxid assigned	based on 6756/6963 ORFs	1;131567;2;1783272;1239;186801;186802	1.00;0.99;0.99;0.92;0.90;0.78;0.78	Bacteria	Firmicutes	Clostridia	Clostridiales	no support	no support	no support
Bin100.fa	taxid assigned	based on 2065/2082 ORFs	1;131567;2;1783272;1239;186801;186802;186803;2316020;46228	1.00;1.00;1.00;1.00;1.00;0.98;0.97;0.87;0.84;0.84	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Mediterraneibacter	[Ruminococcus] lactaris
Bin1000.fa	taxid assigned	based on 2096/2129 ORFs	1;131567;2;1783272;1239;186801;186802;216572;459786	1.00;1.00;1.00;0.99;0.98;0.90;0.90;0.78;0.76	Bacteria	Firmicutes	Clostridia	Clostridiales	Oscillospiraceae	Oscillibacter	no support
Bin1001.fa	taxid assigned	based on 2540/2568 ORFs	1;131567;2;1783270;68336;976;200643;171549;171550;239759	1.00;1.00;1.00;0.97;0.97;0.97;0.97;0.97;0.92;0.92	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	no support
Bin1002.fa	taxid assigned	based on 3252/3407 ORFs	1;131567;2;1783272;1239;186801;186802;186803;841	1.00;1.00;1.00;0.99;0.99;0.97;0.97;0.86;0.34	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	no support
Bin1003.fa	taxid assigned	based on 2349/2357 ORFs	1;131567;2;1783270;68336;976;200643;171549	1.00;0.99;0.99;0.77;0.77;0.77;0.74;0.74	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	no support	no support	no support
Bin1004.fa	taxid assigned	based on 2678/2714 ORFs	1;131567;2;1783272;1239;186801;186802;186803	1.00;1.00;1.00;0.99;0.99;0.97;0.97;0.92	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	no support	no support
Bin1005.fa	taxid assigned	based on 1732/1761 ORFs	1;131567;2;1783272;1239	1.00;1.00;1.00;1.00;1.00	Bacteria	Firmicutes	no support	no support	no support	no support	no support
Bin1006.fa	taxid assigned	based on 3967/3996 ORFs	1;131567;2;1783270;68336;976;200643;171549	1.00;1.00;1.00;0.80;0.80;0.80;0.80;0.80	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	no support	no support	no support
Bin1007.fa	taxid assigned	based on 2485/2507 ORFs	1;131567;2;1783272;1239;186801;186802;186803;841	1.00;1.00;1.00;0.99;0.99;0.97;0.97;0.90;0.89	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	no support
Bin1008.fa	taxid assigned	based on 1794/1841 ORFs	1;131567;2;1783272;1239;186801;186802;186806;1730;39496	1.00;1.00;1.00;0.99;0.99;0.97;0.97;0.94;0.94;0.83	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium ventriosum
Bin1009.fa	taxid assigned	based on 2520/2550 ORFs	1;131567;2;1783272;1239;186801;186802;216572	1.00;1.00;1.00;0.99;0.99;0.99;0.99;0.75	Bacteria	Firmicutes	Clostridia	Clostridiales	Oscillospiraceae	no support	no support
Bin101.fa	taxid assigned	based on 2411/2452 ORFs	1;131567;2;1783272;1239;186801;186802	1.00;1.00;1.00;0.97;0.97;0.96;0.96	Bacteria	Firmicutes	Clostridia	Clostridiales	no support	no support	no support
Bin1010.fa	taxid assigned	based on 3056/3075 ORFs	1;131567;2;1783272;1239;186801;186802	1.00;1.00;1.00;0.99;0.99;0.92;0.92	Bacteria	Firmicutes	Clostridia	Clostridiales	no support	no support	no support
Bin1011.fa	taxid assigned	based on 3159/3187 ORFs	1;131567;2;1783270;68336;976;200643;171549;2005525;375288	1.00;1.00;1.00;0.96;0.96;0.96;0.96;0.96;0.81;0.81	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	no support
Bin1012.fa	taxid assigned	based on 3383/3408 ORFs	1;131567;2	1.00;0.97;0.97	Bacteria	no support	no support	no support	no support	no support	no support
Bin1013.fa	taxid assigned	based on 2340/2411 ORFs	1;131567;2;1783272;1239;186801;186802;216572	1.00;0.99;0.99;0.97;0.97;0.95;0.95;0.54	Bacteria	Firmicutes	Clostridia	Clostridiales	Oscillospiraceae	no support	no support
Bin1014.fa	taxid assigned	based on 2727/2811 ORFs	1;131567;2;1224;68525;28221;213115;194924;35832	1.00;1.00;1.00;0.99;0.99;0.99;0.99;0.99;0.98	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Bilophila	no support
